emp_id,skill_id
1,4
1,10
1,15
1,17
2,4
2,17
3,14
3,18
3,21
3,25
4,3
4,19
5,18
5,21
6,4
6,9
7,10
7,11
8,2
8,6
8,8
8,18
9,4
9,14
10,4
10,12
10,25
11,14
11,23
12,7
12,11
12,17
12,23
13,7
13,16
14,18
14,23
15,2
15,4
15,12
15,22
16,8
16,13
16,14
17,15
17,18
18,15
18,19
19,2
19,7
19,10
20,6
20,9
21,12
21,17
21,18
22,8
22,13
22,15
23,3
23,6
23,9
23,21
24,2
24,10
24,15
24,21
25,3
25,12
25,21
26,2
26,21
26,23
26,24
27,1
27,5
27,8
27,12
28,24
28,25
29,12
29,18
29,22
30,4
30,9
30,10
30,22
31,5
31,15
31,25
32,10
32,17
32,21
33,11
33,19
34,12
34,17
34,20
34,23
35,3
35,9
35,19
35,22
36,5
36,11
36,25
37,2
37,4
37,11
37,19
38,2
38,8
39,4
39,12
39,25
40,7
40,10
40,20
40,24
41,9
41,11
41,22
41,24
42,15
42,19
42,21
42,23
43,1
43,3
43,17
43,22
44,4
44,12
44,23
45,10
45,11
45,19
46,3
46,4
46,10
46,19
47,1
47,8
47,13
48,13
48,14
49,1
49,4
50,3
50,5
50,11
50,14
51,10
51,13
51,21
52,19
52,24
53,1
53,11
53,15
53,16
54,2
54,6
54,16
55,3
55,17
55,21
56,2
56,19
57,15
57,17
58,6
58,9
58,22
59,1
59,2
59,12
59,19
60,8
60,13
61,14
61,15
61,24
62,8
62,11
62,18
62,25
63,7
63,11
64,3
64,12
64,13
65,8
65,9
65,14
65,15
66,2
66,6
66,7
66,19
67,2
67,8
68,13
68,21
69,2
69,24
70,19
70,23
71,9
71,16
71,21
72,10
72,16
72,18
73,15
73,25
74,4
74,12
74,14
74,20
75,7
75,13
75,22
76,4
76,19
76,20
76,21
77,9
77,21
78,1
78,13
78,21
78,24
79,16
79,18
79,20
79,25
80,1
80,6
80,22
81,22
81,23
82,12
82,22
83,7
83,8
83,14
83,20
84,3
84,5
84,6
85,12
85,25
86,4
86,21
86,24
87,10
87,23
88,8
88,21
89,5
89,12
89,15
89,24
90,11
90,13
90,14
91,2
91,7
91,18
91,23
92,5
92,15
92,21
92,24
93,9
93,11
93,18
93,23
94,2
94,7
95,4
95,16
96,1
96,8
96,11
96,18
97,7
97,24
98,20
98,24
99,5
99,17
99,19
99,24
100,14
100,19
101,6
101,13
101,14
102,17
102,23
102,25
103,6
103,15
103,25
104,1
104,10
104,25
105,1
105,17
106,4
